Name,Value
CNG_TP03_Claim_Search_Simple_Pacing,0
CNG_TP03_Claim_Search_Simple_RampUp,25
CNG_TP03_Claim_Search_Simple_StartUpDelay,15
CNG_TP03_Claim_Search_Simple_SteadyState,4000
CNG_TP03_Claim_Search_Simple_ThinkTime,5000
CNG_TP03_Claim_Search_Simple_Threads,5
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_Pacing,0
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_RampUp,10
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_StartUpDelay,21
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_SteadyState,4000
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_ThinkTime,2500
CNG_TP06_FNOL_Auto_Add_Bodily_Injury_To_Existing_Claim_Threads,2
CNG_TP07_FNOL_Prop_Water_Manual_Assign_Pacing,0
CNG_TP07_FNOL_Prop_Water_Manual_Assign_RampUp,10
CNG_TP07_FNOL_Prop_Water_Manual_Assign_StartUpDelay,27
CNG_TP07_FNOL_Prop_Water_Manual_Assign_SteadyState,4000
CNG_TP07_FNOL_Prop_Water_Manual_Assign_ThinkTime,14000
CNG_TP07_FNOL_Prop_Water_Manual_Assign_Threads,2
CNG_TP09_Add_Search_Update_Note_Pacing,2000
CNG_TP09_Add_Search_Update_Note_RampUp,18
CNG_TP09_Add_Search_Update_Note_StartUpDelay,48
CNG_TP09_Add_Search_Update_Note_SteadyState,4000
CNG_TP09_Add_Search_Update_Note_ThinkTime,3000
CNG_TP09_Add_Search_Update_Note_Threads,7
CNG_TP101_010_eService_Create_Shop_Appraisal_Pacing,20000
CNG_TP101_010_eService_Create_Shop_Appraisal_RampUp,10
CNG_TP101_010_eService_Create_Shop_Appraisal_StartUpDelay,500
CNG_TP101_010_eService_Create_Shop_Appraisal_SteadyState,4000
CNG_TP101_010_eService_Create_Shop_Appraisal_ThinkTime,10
CNG_TP101_010_eService_Create_Shop_Appraisal_Threads,0
CNG_TP103_eService_Find_Checks_By_Claim_Number_Pacing,0
CNG_TP103_eService_Find_Checks_By_Claim_Number_RampUp,10
CNG_TP103_eService_Find_Checks_By_Claim_Number_StartUpDelay,60
CNG_TP103_eService_Find_Checks_By_Claim_Number_SteadyState,4000
CNG_TP103_eService_Find_Checks_By_Claim_Number_ThinkTime,10000
CNG_TP103_eService_Find_Checks_By_Claim_Number_Threads,4
CNG_TP104_eService_Get_Create_Rental_Reservation_Pacing,0
CNG_TP104_eService_Get_Create_Rental_Reservation_RampUp,7
CNG_TP104_eService_Get_Create_Rental_Reservation_StartUpDelay,69
CNG_TP104_eService_Get_Create_Rental_Reservation_SteadyState,4000
CNG_TP104_eService_Get_Create_Rental_Reservation_ThinkTime,10000
