sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
CNG_TP159_A_Launch_Browser,34,542,290,664,160,5361,0.00%,.1,1.6,1016.70
CNG_TP159_B_Login,34,4615,3961,7032,2034,10167,0.00%,.1,282.1,2089.00
CNG_TP159_C_Go_To_Claim_Summary,34,1121,674,1931,208,9176,0.00%,.1,4.7,1641.88
CNG_TP159_D_Actions_Claim_Card,34,927,528,2894,363,3946,0.00%,.1,4.1,956.03
CNG_TP159_E_Select_Reserve_Line,34,569,313,573,230,4084,0.00%,.1,2.4,878.13
CNG_TP159_G_Enter_Payment_Amount,34,398,282,485,197,2140,0.00%,.1,.7,426.32
CNG_TP159_H_Next_To_Payee_Info,34,383,279,502,200,1878,0.00%,.1,1.3,328.31
CNG_TP159_I_Select_Payee_Type,34,557,286,1225,193,3840,0.00%,.1,2.4,723.30
CNG_TP159_J_Select_Link_To_New_Card,34,667,297,1100,187,7929,0.00%,.1,2.3,1348.34
CNG_TP159_K_Next_To_Claims_Card_Instructions,34,1775,670,8012,340,8148,0.00%,.1,3.1,2426.97
CNG_TP159_M_Click_Finish,34,5467,4624,9591,3264,13168,0.00%,.1,.9,2417.48
CNG_TP159_P_View_Payment,34,1042,477,2985,336,4152,0.00%,.1,3.4,1103.34
CNG_TP159_Q_Return_To_Claim_Summary,34,876,366,2000,152,5561,0.00%,.1,4.8,1073.93
CNG_TP159_R_Return_To_Desktop,34,362,167,408,91,3567,0.00%,.1,3.2,635.79
CNG_TP159_S_Logout,34,213,207,247,162,444,0.00%,.1,.2,51.94
TOTAL,510,1301,388,4045,91,13168,0.00%,1.7,288.0,2028.13
