CLAIMNUMBER,LOBCODE
030754088,10001
030757951,10001
030757987,10001
030758157,10001
030758874,10001
030759509,10001
030761270,10001
030762056,10001
030766658,10001
030766726,10001
030766799,10001
030768876,10001
030770475,10001
030770729,10001
030772043,10001
030796717,10001
030798272,10001
030873396,10001
030873413,10001
030873564,10001
030873593,10001
030873621,10001
030873964,10001
030874291,10001
030874364,10001
030874424,10001
030874438,10001
030874478,10001
030874540,10001
030874555,10001
030874603,10001
030874665,10001
030874799,10001
030874892,10001
030874937,10001
030888494,10001
030894781,10001
030894867,10001
030894917,10001
030894947,10001
030895036,10001
030895156,10001
030895174,10001
030895373,10001
030895425,10001
030895488,10001
030895526,10001
030895763,10001
030895810,10001
030895814,10001
030896155,10001
030898500,10001
030913376,10001
030913535,10001
030915773,10001
030915868,10001
030915878,10001
030915964,10001
030916044,10001
030916078,10001
030916318,10001
030916897,10001
030917295,10001
030917410,10001
030917413,10001
030917456,10001
030922509,10001
030923131,10001
030930035,10001
030930053,10001
030930081,10001
030930309,10001
030931516,10001
030931661,10001
030931717,10001
030931751,10001
030931758,10001
030931762,10001
030931827,10001
030931888,10001
030931976,10001
030931995,10001
030932048,10001
030932417,10001
030933676,10001
030934419,10001
030942875,10001
030947359,10001
030949040,10001
030949051,10001
030949125,10001
030949131,10001
030949142,10001
030949160,10001
030949163,10001
030949241,10001
030949253,10001
030949255,10001
030949341,10001
030949433,10001
030949513,10001
030949518,10001
030949571,10001
030949573,10001
030949574,10001
030964478,10001
030964489,10001
030964556,10001
030964577,10001
030964606,10001
030964692,10001
030964799,10001
030964903,10001
030964920,10001
030964930,10001
030964956,10001
030964973,10001
030964974,10001
030964994,10001
030965004,10001
030965014,10001
030965026,10001
030965722,10001
030972424,10001
030972429,10001
030972467,10001
030972482,10001
030972508,10001
030972518,10001
030972567,10001
030972568,10001
030972614,10001
030972617,10001
030972657,10001
030972670,10001
030972678,10001
030972683,10001
030972703,10001
030972772,10001
030972777,10001
030972783,10001
030972819,10001
030972826,10001
030972856,10001
030972860,10001
030972890,10001
030972947,10001
030972950,10001
030972972,10001
030972998,10001
030973012,10001
030973025,10001
030973067,10001
030973075,10001
030973086,10001
030973115,10001
030973130,10001
030973162,10001
030973207,10001
030973258,10001
030973283,10001
030973297,10001
030973361,10001
030973370,10001
030973380,10001
030973414,10001
030973492,10001
030973536,10001
030973560,10001
030973612,10001
030973680,10001
030973692,10001
030973715,10001
030973727,10001
030973741,10001
030973859,10001
030973891,10001
030974063,10001
030974112,10001
030974151,10001
030974196,10001
030974275,10001
030974308,10001
030974310,10001
030974384,10001
030974458,10001
030974531,10001
030974562,10001
030974675,10001
030974710,10001
030974767,10001
030974770,10001
030974838,10001
030974854,10001
030974875,10001
030974880,10001
030974884,10001
030974938,10001
030975018,10001
030975096,10001
030975102,10001
030975115,10001
030977211,10001
030977224,10001
030977225,10001
030977241,10001
030977273,10001
030977301,10001
030977349,10001
030977398,10001
030977402,10001
030977406,10001
030977466,10001
030977528,10001
030977553,10001
030977566,10001
030977576,10001
030977754,10001
030977755,10001
030977769,10001
030977814,10001
030977821,10001
030977871,10001
030977891,10001
030977913,10001
030977926,10001
030977962,10001
030977972,10001
030978026,10001
030978042,10001
030978067,10001
030978076,10001
030978118,10001
030978129,10001
030978172,10001
030978195,10001
030978277,10001
030978294,10001
030978297,10001
030978328,10001
030978379,10001
030978443,10001
030978448,10001
030978593,10001
030978600,10001
030978641,10001
030978683,10001
030978693,10001
030978701,10001
030978796,10001
030978808,10001
030978883,10001
030978915,10001
030979097,10001
030979104,10001
030979227,10001
030979337,10001
030979361,10001
030979411,10001
030979418,10001
030979439,10001
030979444,10001
030979468,10001
030979488,10001
030979548,10001
030979561,10001
030979603,10001
030979640,10001
030979641,10001
030979685,10001
030979715,10001
030979757,10001
030979793,10001
030979826,10001
030979827,10001
030979845,10001
030979884,10001
030979913,10001
030979969,10001
030979992,10001
030979996,10001
030980021,10001
030980044,10001
030980056,10001
030980059,10001
030980171,10001
030980173,10001
030980177,10001
030980182,10001
030980204,10001
030980213,10001
030980215,10001
030980218,10001
030980227,10001
030980239,10001
030980241,10001
030980257,10001
030980259,10001
030980260,10001
030980263,10001
030980274,10001
030980275,10001
030980282,10001
030980285,10001
030980325,10001
030980329,10001
030980351,10001
030980357,10001
030980366,10001
030980373,10001
030980385,10001
030980387,10001
030980388,10001
030980394,10001
030980403,10001
030980414,10001
030980419,10001
030980423,10001
030980425,10001
030980435,10001
030980463,10001
030980480,10001
030980481,10001
030980491,10001
030980492,10001
030980508,10001
030980532,10001
030980535,10001
030980562,10001
030980567,10001
030980572,10001
030980575,10001
030980586,10001
030980641,10001
030980643,10001
030980658,10001
030980660,10001
030980697,10001
030980756,10001
030980767,10001
030980845,10001
030980880,10001
030980912,10001
030980918,10001
030981071,10001
030981075,10001
030981086,10001
030981087,10001
030981092,10001
030981108,10001
030981223,10001
030981234,10001
030981237,10001
030981249,10001
030981349,10001
030981372,10001
030981378,10001
030981386,10001
030981389,10001
030981451,10001
030981535,10001
030981613,10001
030981632,10001
030981646,10001
030981673,10001
030981709,10001
030981738,10001
030981782,10001
030981810,10001
030981816,10001
030981821,10001
030981875,10001
030981907,10001
030981941,10001
030981953,10001
030981971,10001
030982038,10001
030982075,10001
030982114,10001
030982129,10001
030982131,10001
030982132,10001
030982146,10001
030982202,10001
030982207,10001
030982248,10001
030982251,10001
030982257,10001
030982276,10001
030982278,10001
030982280,10001
030982315,10001
030982317,10001
030982318,10001
030982349,10001
030982354,10001
030982387,10001
030982388,10001
030982400,10001
030983522,10001
030983523,10001
030983536,10001
030983542,10001
030983578,10001
030983608,10001
030983680,10001
030983695,10001
030983729,10001
030983786,10001
030983816,10001
030983825,10001
030983858,10001
030983871,10001
030983894,10001
030983903,10001
030983910,10001
030983915,10001
030983924,10001
030983968,10001
030983984,10001
030984014,10001
030984020,10001
030984090,10001
030984092,10001
030984094,10001
030984097,10001
030984146,10001
030984153,10001
030984177,10001
030984183,10001
030984187,10001
030984191,10001
030984195,10001
030984222,10001
030984247,10001
030984263,10001
030984273,10001
030984300,10001
030984303,10001
030984308,10001
030984344,10001
030984363,10001
030984369,10001
030984390,10001
030984401,10001
030984405,10001
030984416,10001
030984419,10001
030984421,10001
030984430,10001
030984445,10001
030984453,10001
030984476,10001
030984485,10001
030984495,10001
030984512,10001
030984548,10001
030984570,10001
030984585,10001
030984624,10001
030984625,10001
030984661,10001
030984667,10001
030984687,10001
030984758,10001
030984775,10001
030984792,10001
030984819,10001
030984844,10001
030984903,10001
030984927,10001
030984938,10001
030984945,10001
030984983,10001
030985004,10001
030985005,10001
030985006,10001
030985012,10001
030985017,10001
030985020,10001
030985032,10001
030985057,10001
030985061,10001
030985118,10001
030985130,10001
030985168,10001
030985225,10001
030985254,10001
030985260,10001
030985280,10001
030985295,10001
030985323,10001
030985325,10001
030985331,10001
030985343,10001
030985355,10001
030985376,10001
030985395,10001
030985435,10001
030985470,10001
030985494,10001
030985528,10001
030985530,10001
030985546,10001
030985575,10001
030985602,10001
030985611,10001
030985613,10001
030985637,10001
030985656,10001
030985670,10001
030985687,10001
030985706,10001
030985737,10001
030985792,10001
030985793,10001
030985800,10001
030985816,10001
030985854,10001
030985873,10001
030985921,10001
030985929,10001
030985931,10001
030985953,10001
030985984,10001
030986013,10001
030986032,10001
030986033,10001
030986036,10001
030986067,10001
030986071,10001
030986127,10001
030986143,10001
030986176,10001
030986181,10001
030986192,10001
030986221,10001
030986315,10001
030986335,10001
030986352,10001
030986354,10001
030986381,10001
030986390,10001
030986398,10001
030986444,10001
030986448,10001
030986452,10001
030986496,10001
030986517,10001
030986542,10001
030986561,10001
030986586,10001
030986591,10001
030986657,10001
030986688,10001
030986693,10001
030986697,10001
030986749,10001
030986769,10001
030986790,10001
030986799,10001
030986802,10001
030986820,10001
030986837,10001
030986852,10001
030986856,10001
030986866,10001
030986875,10001
030986886,10001
030986887,10001
030986913,10001
030986940,10001
030986942,10001
030987036,10001
030987038,10001
030987040,10001
030987054,10001
030987106,10001
030987129,10001
030987138,10001
030987153,10001
030987165,10001
030987178,10001
030987245,10001
030987316,10001
030987344,10001
030987364,10001
030987374,10001
030987382,10001
030987385,10001
030987392,10001
030987438,10001
030987449,10001
030987476,10001
030987502,10001
030987583,10001
030987671,10001
030987675,10001
030987690,10001
030987704,10001
030987712,10001
030987716,10001
030987746,10001
030987777,10001
030987816,10001
030987908,10001
030987912,10001
030987931,10001
030987953,10001
030987983,10001
030987986,10001
030988063,10001
030988080,10001
030988091,10001
030988127,10001
030988201,10001
030988203,10001
030988205,10001
030988215,10001
030988243,10001
030988331,10001
030988344,10001
030988349,10001
030988350,10001
030988366,10001
030988427,10001
030988454,10001
030988463,10001
030988478,10001
030988506,10001
030988522,10001
030988547,10001
030988553,10001
030988583,10001
030988596,10001
030988610,10001
030988612,10001
030988613,10001
030988619,10001
030988654,10001
030988670,10001
030988782,10001
030988854,10001
030988871,10001
030988873,10001
030988900,10001
030988918,10001
030988927,10001
030988945,10001
030988958,10001
030988978,10001
030989007,10001
030989073,10001
030989084,10001
030989119,10001
030989158,10001
030989162,10001
030989171,10001
030989200,10001
030989231,10001
030989338,10001
030989343,10001
030989362,10001
030989389,10001
030989411,10001
030989422,10001
030989480,10001
030989560,10001
030989565,10001
030989566,10001
030989584,10001
030989590,10001
030989635,10001
030989768,10001
030989779,10001
030989809,10001
030989865,10001
030989918,10001
030991093,10001
030991144,10001
044708580,10001
044708587,10001
044708593,10001
044708602,10001
044708630,10001
044708632,10001
044708662,10001
044708682,10001
044708698,10001
044708699,10001
044708716,10001
044708743,10001
