CLAIMNUMBER,LOBCODE
029956381,10004
030168816,10004
030175016,10004
030182296,10004
030187427,10004
030192323,10004
030196876,10004
030198122,10004
030582124,10004
030586244,10004
030586562,10004
030588057,10004
030590462,10004
030591116,10004
030592886,10004
030696049,10004
030699176,10004
030700234,10004
030700370,10004
030701530,10004
030704667,10004
030774371,10004
030774679,10004
030854807,10004
030861955,10004
030862073,10004
030862164,10004
030862316,10004
030862410,10004
030862413,10004
030862463,10004
030863107,10004
030863442,10004
030863556,10004
030866279,10004
030866364,10004
030866678,10004
030866758,10004
030866999,10004
030867187,10004
030867209,10004
030867251,10004
030867325,10004
030867395,10004
030867490,10004
030867667,10004
030868092,10004
030868382,10004
030868396,10004
030868477,10004
030868513,10004
030868549,10004
030868633,10004
030868703,10004
030868788,10004
030869026,10004
030869047,10004
030869079,10004
030869121,10004
030869184,10004
030869477,10004
030869545,10004
030869596,10004
030869628,10004
030869874,10004
030870362,10004
030870531,10004
030870563,10004
030873332,10004
030873345,10004
030873488,10004
030873705,10004
030873757,10004
030874039,10004
030874230,10004
030874433,10004
030874545,10004
030874644,10004
030874701,10004
030874773,10004
030875565,10004
030875596,10004
030875969,10004
030875981,10004
030876106,10004
030876391,10004
030876421,10004
030876482,10004
030876492,10004
030876768,10004
030876882,10004
030877275,10004
030877305,10004
030877379,10004
030877590,10004
030880354,10004
030880414,10004
030880851,10004
030881130,10004
030881199,10004
030881246,10004
030881341,10004
030881368,10004
030881905,10004
030881949,10004
030882229,10004
030882359,10004
030882378,10004
030882618,10004
030882746,10004
030882769,10004
030882944,10004
030882974,10004
030883074,10004
030883398,10004
030883588,10004
030883634,10004
030883810,10004
030883855,10004
030883862,10004
030884170,10004
030884172,10004
030884361,10004
030886528,10004
030886595,10004
030886834,10004
030887148,10004
030887181,10004
030887385,10004
030887453,10004
030887466,10004
030887499,10004
030887773,10004
030887778,10004
030887895,10004
030888009,10004
030888131,10004
030888238,10004
030888240,10004
030888314,10004
030888321,10004
030888338,10004
030888371,10004
030888523,10004
030888655,10004
030888829,10004
030888839,10004
030888882,10004
030888951,10004
030889128,10004
030889193,10004
030889217,10004
030889435,10004
030889573,10004
030889610,10004
030889737,10004
030889739,10004
030889747,10004
030889810,10004
030889867,10004
030889887,10004
030889999,10004
030890002,10004
030891075,10004
030893263,10004
030893340,10004
030893556,10004
030893775,10004
030893876,10004
030893956,10004
030894152,10004
030894201,10004
030894214,10004
030894233,10004
030894299,10004
030894562,10004
030894628,10004
030894632,10004
030894837,10004
030894933,10004
030895002,10004
030895033,10004
030895278,10004
030895290,10004
030895351,10004
030895513,10004
030895580,10004
030898350,10004
030898358,10004
030898540,10004
030898594,10004
030898694,10004
030898717,10004
030898927,10004
030899155,10004
030899246,10004
030899263,10004
030899318,10004
030899429,10004
030899475,10004
030899567,10004
030899582,10004
030899862,10004
030900061,10004
030900179,10004
030900203,10004
030900353,10004
030900416,10004
030900610,10004
030900841,10004
030903166,10004
030903324,10004
030903328,10004
030903461,10004
030903675,10004
030903786,10004
030903822,10004
030904197,10004
030904214,10004
030904322,10004
030904329,10004
030904371,10004
030904398,10004
030904426,10004
030904467,10004
030904557,10004
030904585,10004
030904711,10004
030904803,10004
030904827,10004
030905000,10004
030905002,10004
030905074,10004
030905140,10004
030905183,10004
030905215,10004
030905228,10004
030905329,10004
030905339,10004
030905407,10004
030905509,10004
030905546,10004
030905603,10004
030905644,10004
030905743,10004
030905859,10004
030905922,10004
030905933,10004
030905989,10004
030906086,10004
030906090,10004
030906103,10004
030906233,10004
030906244,10004
030906403,10004
030906486,10004
030906510,10004
030906698,10004
030906712,10004
030906733,10004
030906788,10004
030906819,10004
030906868,10004
030906905,10004
030906946,10004
030906962,10004
030907004,10004
030907007,10004
030907064,10004
030907283,10004
030907348,10004
030907364,10004
030907407,10004
030907523,10004
030907543,10004
030907661,10004
030907669,10004
030907756,10004
030907760,10004
030907923,10004
030908315,10004
030908318,10004
030908323,10004
030908333,10004
030908351,10004
030908358,10004
030908367,10004
030908382,10004
030908500,10004
030908501,10004
030908517,10004
030908657,10004
030908717,10004
030908740,10004
030908791,10004
030908794,10004
030908876,10004
030909125,10004
030909207,10004
030909240,10004
030911798,10004
030911842,10004
030912070,10004
030912108,10004
030912236,10004
030912303,10004
030912432,10004
030912558,10004
030912768,10004
030912816,10004
030912873,10004
030912940,10004
030912996,10004
030913009,10004
030913057,10004
030913102,10004
030913116,10004
030913134,10004
030913196,10004
030913220,10004
030913385,10004
030913448,10004
030913504,10004
030913526,10004
030914631,10004
030914632,10004
030914657,10004
030915690,10004
030915725,10004
030915753,10004
030915767,10004
030915826,10004
030915832,10004
030915863,10004
030915957,10004
030915991,10004
030916038,10004
030916086,10004
030916093,10004
030916143,10004
030916291,10004
030916329,10004
030916388,10004
030916400,10004
030916427,10004
030916454,10004
