CLAIMNUMBER,LOBCODE
044708841,10004
044708850,10004
044708852,10004
044708857,10004
044708866,10004
044708875,10004
044708879,10004
044708887,10004
044708890,10004
044708894,10004
044708914,10004
044708918,10004
044708924,10004
044708925,10004
044708930,10004
044708942,10004
044708944,10004
044708952,10004
044708963,10004
044708965,10004
044708967,10004
044708977,10004
044709000,10004
044709003,10004
044709004,10004
044709010,10004
044709014,10004
044709015,10004
044709025,10004
044709036,10004
044709045,10004
044709064,10004
044709068,10004
044709071,10004
044709073,10004
044709077,10004
044709099,10004
044709100,10004
044709103,10004
044709104,10004
044709107,10004
044709118,10004
044709119,10004
044709124,10004
044709144,10004
044709145,10004
044709150,10004
044709164,10004
044709167,10004
044709180,10004
044709182,10004
044709187,10004
044709191,10004
044709197,10004
044709199,10004
044709217,10004
044709222,10004
044709225,10004
044709226,10004
044709232,10004
044709245,10004
044709251,10004
044709256,10004
044709271,10004
044709273,10004
044709275,10004
044709278,10004
044709296,10004
044709298,10004
044709310,10004
044709316,10004
044709320,10004
044709321,10004
044709333,10004
044709353,10004
044709356,10004
044709360,10004
044709364,10004
044709365,10004
044709367,10004
044709369,10004
044709375,10004
044709378,10004
044709392,10004
044709406,10004
044709423,10004
044709425,10004
044709430,10004
044709438,10004
044709439,10004
044709448,10004
044709453,10004
044709455,10004
044709457,10004
044709465,10004
044709475,10004
044709477,10004
044709484,10004
044709510,10004
044709514,10004
044709515,10004
044709526,10004
044709535,10004
044709540,10004
044709545,10004
044709548,10004
044709555,10004
044709574,10004
044709576,10004
044709579,10004
044709583,10004
044709603,10004
044709605,10004
044709610,10004
044709611,10004
044709615,10004
044709621,10004
044709622,10004
044709629,10004
044709644,10004
044709653,10004
044709669,10004
044709674,10004
044709679,10004
044709687,10004
044709695,10004
044709697,10004
044709702,10004
044709712,10004
044709719,10004
044709724,10004
044709730,10004
044709731,10004
044709747,10004
044709752,10004
044709756,10004
044709775,10004
044709786,10004
044709790,10004
044709801,10004
044709804,10004
044709818,10004
044709823,10004
044709824,10004
044709847,10004
044709865,10004
044709871,10004
044709873,10004
044709885,10004
044709900,10004
044709912,10004
044709926,10004
044709944,10004
044709973,10004
044709975,10004
044710014,10004
029956381,10004
030168816,10004
029572128,10001
030175016,10004
030182296,10004
030187427,10004
030192323,10004
030196876,10004
030198122,10004
030677727,10001
030754088,10001
030582124,10004
030757583,10001
030586244,10004
030586562,10004
030588057,10004
030758157,10001
030590462,10004
030758874,10001
030591116,10004
030592886,10004
030696049,10004
030762056,10001
030699176,10004
030766658,10001
030700234,10004
030766726,10001
030766799,10001
030701530,10004
030768876,10001
030704667,10004
030770729,10001
030774371,10004
030772043,10001
030774679,10004
030854807,10004
030861955,10004
030862073,10004
030862164,10004
030862316,10004
030862410,10004
030862413,10004
030862463,10004
030863107,10004
030873396,10001
030863442,10004
030863556,10004
030873564,10001
030866279,10004
030873593,10001
030866364,10004
030873621,10001
030866678,10004
030866758,10004
030867187,10004
030867209,10004
030874438,10001
030867251,10004
030867325,10004
030867395,10004
030874540,10001
030867490,10004
030867667,10004
030868092,10004
030874665,10001
030868382,10004
030874799,10001
030868396,10004
030874892,10001
030868477,10004
030874937,10001
030868513,10004
030868549,10004
030868633,10004
030868703,10004
030888494,10001
030868788,10004
030869026,10004
030869047,10004
030894867,10001
030869079,10004
030894917,10001
030869121,10004
030894947,10001
030869184,10004
030895036,10001
030869477,10004
030869596,10004
030895373,10001
030869628,10004
030895425,10001
030869874,10004
030895488,10001
030870362,10004
030895526,10001
030870531,10004
030870563,10004
030895810,10001
030873332,10004
030873345,10004
030896155,10001
030873488,10004
030898500,10001
030873705,10004
030873757,10004
030899391,10001
030874039,10004
030874230,10004
030874433,10004
030874545,10004
030874644,10004
030874701,10004
030913376,10001
030874773,10004
030913535,10001
030875565,10004
030915868,10001
030875596,10004
030875969,10004
030875981,10004
030876106,10004
030876391,10004
030876421,10004
030916897,10001
030876482,10004
030917295,10001
030876492,10004
030876768,10004
030876882,10004
030917456,10001
030877275,10004
030877305,10004
030922509,10001
030877379,10004
030877590,10004
030880354,10004
030880414,10004
030930053,10001
030880851,10004
030930081,10001
030881130,10004
030930309,10001
030881199,10004
030881246,10004
030881341,10004
030881368,10004
030931751,10001
030881905,10004
030881949,10004
030882229,10004
030882359,10004
030931888,10001
030882378,10004
030931976,10001
030882618,10004
030882746,10004
030932048,10001
030882769,10004
030882944,10004
030882974,10004
030883074,10004
030883398,10004
030883588,10004
030883634,10004
