CLAIMORDER,CLAIMNUMBER
1,016448114
1,016446241
1,016446242
1,016448671
1,016463220
1,016461182
1,016722435
1,016874090
1,016463206
1,016446282
1,016448669
1,016509718
1,016457045
1,017084388
1,016583557
1,016463222
1,016463226
1,016461202
1,016474643
1,016462284
1,016462752
1,016462758
1,016486204
1,016583292
1,016866295
1,016460869
1,012007733
1,016460882
1,016462974
1,016463079
1,016463068
1,016463080
1,016475469
1,016474442
1,016475628
1,016475630
1,016475618
1,016476730
1,016475892
1,017094581
1,016475878
1,016477062
1,016190256
1,016477052
1,016485039
1,016499577
1,016509440
1,016509445
1,016509434
1,016509446
1,016512537
1,016512542
1,016512636
1,016512623
1,016512630
1,016512619
1,016734825
1,016512635
1,016512638
1,016582863
1,016510590
1,016509706
1,016509707
1,016959288
1,016992829
1,016957528
1,016958528
1,016972764
1,016973933
1,016973957
1,016973949
1,016974038
1,016974041
1,016982320
1,016982315
1,016983512
1,016983496
1,016984078
1,016984061
1,016994986
1,016996097
1,016996442
1,017007454
1,017018270
1,017020385
1,017018357
1,016661519
1,017018346
1,017021497
1,017018704
1,017018713
1,017021809
1,017019795
1,017019803
1,017020947
1,017020972
1,016674912
1,017020944
1,017029582
1,017072799
1,017031645
1,016605447
1,017031657
1,017030606
1,017030619
1,017028727
1,017045790
1,016660822
1,017062173
1,017091956
1,017063233
1,017062258
1,017060298
1,016724385
1,017060284
1,017060277
1,017064113
1,017064128
1,017062021
1,017071549
1,017071526
1,017073791
1,017072797
1,017072801
1,016270085
1,017072802
1,017074845
1,017074863
1,017071880
1,017071870
1,017071871
1,017082995
1,017084076
1,017083164
1,017083160
1,017082175
1,017084241
1,017084255
1,017082251
1,017084347
1,017116685
1,017083307
1,017083310
1,016608333
1,017082412
1,017082430
1,017085432
1,017082498
1,017092074
1,017092087
1,017092055
1,017092355
1,017094589
1,017092627
1,017101045
1,017119618
1,017117554
1,017118588
1,016713055
1,016712831
1,016712813
1,016721342
1,015607488
1,016724372
1,016722443
1,016737992
1,016750071
1,016750088
1,016519437
1,016516610
1,016516621
1,016516924
1,016516932
1,016518182
1,016519334
1,016519325
1,016524575
1,016531251
1,016531565
1,016542208
1,016541438
1,016553480
1,016551443
1,016551449
1,016553957
1,016553959
1,016553060
1,016562456
1,016562468
1,016560456
1,016575815
1,016576185
1,016573253
1,021016831
1,021002493
1,021007614
1,021016832
1,021016833
1,016573256
1,016583127
1,016583147
1,016584148
1,016584136
1,016584158
1,016584153
1,016581557
1,016581558
1,016581774
1,016581776
1,002151424
1,016618536
1,002153115
1,016675848
1,008178580
1,008404084
1,013828902
1,014405167
1,014420770
1,014514230
1,014809510
1,015042225
1,015069331
1,015208914
1,015228360
1,015859405
1,015958345
1,016006497
1,016072837
1,016108506
1,016121795
1,016137793
1,016155289
1,016179910
1,016245825
1,016260010
1,016338279
1,016582865
1,016594771
1,016597218
1,016596197
1,016605469
1,016606025
1,016609379
1,016608332
1,016619935
1,016619949
1,016619955
1,016631081
1,016631083
1,016631261
1,016631392
1,016631370
1,016632616
1,016632609
1,016633619
1,016633608
1,016634651
1,016644440
1,016644433
1,016661819
1,016662863
1,016660807
1,016663141
1,016663095
1,016661025
1,016661017
1,016663661
1,016661511
1,016661593
1,016675347
1,016702825
1,016675351
1,016674411
1,016677430
1,016677547
1,016677535
1,016677697
1,016677675
1,016675860
1,016676854
1,016677978
1,016677952
1,016677946
1,016690207
1,016691235
1,016702845
1,016702816
1,016866306
1,016865283
1,016866329
1,016876853
1,016874853
1,016876023
1,016348959
1,016366549
1,016390748
1,016390236
1,016419275
1,016416692
1,016418719
1,016418830
1,016429497
1,016446718
1,016783729
1,016796992
1,016840525
1,016846081
1,016856585
1,016856706
1,017552845
1,017572583
1,017150817
1,017164748
1,017166166
1,017163160
1,017352950
1,017373631
1,017178401
1,017203827
1,017203804
1,017231457
1,017257935
1,017267132
1,017282363
1,017283260
1,017294704
1,017599053
1,017612651
1,017624141
1,017658054
1,017668255
1,017696838
1,017710492
1,017715675
1,017756748
1,017756726
1,017754759
1,017753750
1,017773771
1,017780405
1,017795608
1,017795062
1,017798231
1,017809694
1,017839487
1,017840794
1,017854337
1,017866684
1,017879422
1,017880295
1,017897894
1,017896101
1,017917257
1,017916463
1,016784034
1,016874127
1,016874128
1,016903078
1,016901210
1,016903183
1,016903179
1,016909834
1,016918291
1,016915609
1,016929202
1,017626014
1,017668265
1,016929287
1,017866136
1,016929610
1,017359456
1,016949654
1,017623886
1,016949665
1,016948844
1,016949939
1,016947079
1,016764462
1,016378778
1,016390712
1,016390747
1,016390191
1,016390183
1,016390282
1,016391367
1,016764456
1,016840545
1,017833370
1,016403927
1,016405384
1,016762701
1,016418707
1,016419706
1,016418852
1,016417784
1,016417770
1,016446711
1,016764452
1,016764454
1,016762699
1,016762710
1,016762700
1,017330201
1,017684418
1,017909266
1,016763824
1,016764923
1,017826671
1,016765109
1,016773791
1,016773804
1,016784043
1,016784044
1,017383703
1,016787109
1,016784138
1,016787373
1,016787362
1,016787357
1,016787359
1,016796984
1,017295335
1,016807332
1,016815457
1,016825176
1,016825173
1,016835073
1,016840519
1,016838470
1,016838499
1,016846090
1,016856692
1,016854041
1,016854057
1,016866567
1,017741229
1,016866598
1,016863768
1,016863757
1,017664666
1,017570113
1,017570124
1,017835479
1,017570746
1,017122631
1,017121878
1,017121894
1,017138401
1,017138392
1,017138406
1,017138671
1,017150323
1,017164640
1,017164742
1,017164735
