LM_PARENTEXPOSURENUMBER,LEVEL
022728014,OccurrenceAndClaim
022728123,OccurrenceAndClaim
022728206,OccurrenceAndClaim
022791330,OccurrenceAndClaim
022791473,OccurrenceAndClaim
022800229,OccurrenceAndClaim
022800400,OccurrenceAndClaim
022801627,OccurrenceAndClaim
022801748,OccurrenceAndClaim
022810751,OccurrenceAndClaim
022836342,OccurrenceAndClaim
022836801,OccurrenceAndClaim
022837955,OccurrenceAndClaim
022861725,OccurrenceAndClaim
022872766,OccurrenceAndClaim
022873039,OccurrenceAndClaim
022881909,OccurrenceAndClaim
022881927,OccurrenceAndClaim
022881990,OccurrenceAndClaim
022882192,OccurrenceAndClaim
022882300,OccurrenceAndClaim
022909177,OccurrenceAndClaim
022909311,OccurrenceAndClaim
022909320,OccurrenceAndClaim
022909341,OccurrenceAndClaim
022909406,OccurrenceAndClaim
022909541,OccurrenceAndClaim
022909622,OccurrenceAndClaim
022909690,OccurrenceAndClaim
022909828,OccurrenceAndClaim
022909855,OccurrenceAndClaim
022909920,OccurrenceAndClaim
022909940,OccurrenceAndClaim
022910007,OccurrenceAndClaim
022911135,OccurrenceAndClaim
022912229,OccurrenceAndClaim
022913309,OccurrenceAndClaim
022914392,OccurrenceAndClaim
022915428,OccurrenceAndClaim
022915454,OccurrenceAndClaim
022922794,OccurrenceAndClaim
022922887,OccurrenceAndClaim
022922895,OccurrenceAndClaim
022923037,OccurrenceAndClaim
022923105,OccurrenceAndClaim
022923121,OccurrenceAndClaim
022923159,OccurrenceAndClaim
022923241,OccurrenceAndClaim
022923264,OccurrenceAndClaim
022923407,OccurrenceAndClaim
022923439,OccurrenceAndClaim
022923468,OccurrenceAndClaim
022924589,OccurrenceAndClaim
022924594,OccurrenceAndClaim
022924614,OccurrenceAndClaim
022927749,OccurrenceAndClaim
022928823,OccurrenceAndClaim
022940312,OccurrenceAndClaim
022940645,OccurrenceAndClaim
022940649,OccurrenceAndClaim
022940706,OccurrenceAndClaim
022940748,OccurrenceAndClaim
022940870,OccurrenceAndClaim
022940883,OccurrenceAndClaim
022940926,OccurrenceAndClaim
022942150,OccurrenceAndClaim
022953755,OccurrenceAndClaim
022953803,OccurrenceAndClaim
022953834,OccurrenceAndClaim
022953858,OccurrenceAndClaim
022953876,OccurrenceAndClaim
022954017,OccurrenceAndClaim
022954069,OccurrenceAndClaim
022954133,OccurrenceAndClaim
022954146,OccurrenceAndClaim
022954203,OccurrenceAndClaim
022954276,OccurrenceAndClaim
022955331,OccurrenceAndClaim
022955356,OccurrenceAndClaim
022955399,OccurrenceAndClaim
022955438,OccurrenceAndClaim
022955446,OccurrenceAndClaim
022955522,OccurrenceAndClaim
022955545,OccurrenceAndClaim
022955557,OccurrenceAndClaim
022975129,OccurrenceAndClaim
022975196,OccurrenceAndClaim
022976264,OccurrenceAndClaim
022983469,OccurrenceAndClaim
022983510,OccurrenceAndClaim
022983521,OccurrenceAndClaim
022983554,OccurrenceAndClaim
022983561,OccurrenceAndClaim
022983666,OccurrenceAndClaim
022983686,OccurrenceAndClaim
022983755,OccurrenceAndClaim
022983788,OccurrenceAndClaim
022983825,OccurrenceAndClaim
022983850,OccurrenceAndClaim
022983864,OccurrenceAndClaim
022983882,OccurrenceAndClaim
022983890,OccurrenceAndClaim
022983900,OccurrenceAndClaim
022983920,OccurrenceAndClaim
022983943,OccurrenceAndClaim
022983949,OccurrenceAndClaim
022983954,OccurrenceAndClaim
022983978,OccurrenceAndClaim
022983980,OccurrenceAndClaim
022983990,OccurrenceAndClaim
022984039,OccurrenceAndClaim
022984046,OccurrenceAndClaim
022984064,OccurrenceAndClaim
022991244,OccurrenceAndClaim
022991264,OccurrenceAndClaim
022991330,OccurrenceAndClaim
022991371,OccurrenceAndClaim
022991379,OccurrenceAndClaim
022991406,OccurrenceAndClaim
022991493,OccurrenceAndClaim
022991509,OccurrenceAndClaim
022991525,OccurrenceAndClaim
022991548,OccurrenceAndClaim
022991589,OccurrenceAndClaim
022991614,OccurrenceAndClaim
022991631,OccurrenceAndClaim
022991639,OccurrenceAndClaim
